Group	id	part	text	END
Key	id	part	text	
Type	int	int	string	
Control	[KEY]	[NODE]	[NODE]	
Name	ID	昵称分段	文本	
Remark	ID	昵称的第X段	昵称分段的文本	
	1001	1	憨厚	
	1002	1	敦厚	
	1003	1	淳朴	
	1004	1	靓丽	
	1005	1	灵巧	
	1006	1	聪慧	
	1007	1	勤奋	
	1008	1	圆滑	
	1009	1	老练	
	1010	1	沧桑	
	1011	1	勇敢	
	1012	1	潇洒	
	1013	1	魁梧	
	1014	1	睿智	
	1015	1	深沉	
	1016	1	稳重	
	1017	1	豪爽	
	1018	1	低调	
	1019	1	淡定	
	1020	1	高大	
	1021	1	仗义	
	1022	1	正直	
	1023	1	帅气	
	1024	1	博学	
	1025	1	爽快	
	1026	1	果断	
	1027	1	达观	
	1028	1	儒雅	
	1029	1	冷静	
	1030	1	从容	
	1031	1	谦逊	
	1032	1	豁达	
	1033	1	精明	
	1034	1	干练	
	1035	1	聪明	
	1036	1	健壮	
	1037	1	阳刚	
	1038	1	阳光	
	1039	1	慷慨	
	1040	1	善良	
	1041	1	刚毅	
	1042	1	坚强	
	1043	1	乐观	
	1044	1	温柔	
	1045	1	体贴	
	1046	1	撒娇	
	1047	1	任性	
	1048	1	独立	
	1049	1	爱美	
	1050	1	另类	
	1051	1	耐心	
	1052	1	窈窕	
	1053	1	慧质	
	1054	1	高雅	
	1055	1	美丽	
	1056	1	朴实	
	1057	1	简朴	
	1058	1	清新	
	1059	1	纯情	
	1060	1	青春	
	1061	1	淡雅	
	1062	1	端庄	
	1063	1	清澈	
	1064	1	苗条	
	1065	1	娇小	
	1066	1	贤惠	
	1067	1	纯洁	
	1068	1	漂亮	
	1069	1	大方	
	1070	1	可人	
	1071	1	单纯	
	1072	1	天真	
	1073	1	活泼	
	1074	1	文静	
	1075	1	魅力	
	1076	1	秀雅	
	1077	1	奔放	
	1078	1	律己	
	1079	1	知性	
	1080	1	贤淑	
	1081	1	伶俐	
	1082	1	热烈	
	1083	1	妩媚	
	1084	1	秀丽	
	1085	1	清秀	
	1086	1	青纯	
	1087	1	优雅	
	1088	1	高贵	
	1089	1	可爱	
	1090	1	热情	
	1091	1	纯朴	
	1092	1	素雅	
	1093	1	修长	
	1094	1	迷人	
	1095	1	动人	
	1096	1	细腻	
	1097	1	孝顺	
	1098	1	勤劳	
	1099	1	利落	
	1100	1	干净	
	1101	1	直率	
	1102	1	理智	
	1103	1	聪敏	
	1104	1	腼腆	
	1105	1	羞涩	
	1106	1	泼辣	
	1107	1	随和	
	1108	1	司隶	
	1109	1	兖州	
	1110	1	青州	
	1111	1	豫州	
	1112	1	徐州	
	1113	1	冀州	
	1114	1	幽州	
	1115	1	并州	
	1116	1	扬州	
	1117	1	荆州	
	1118	1	益州	
	1119	1	凉州	
	1120	1	蕲春	
	1121	1	丹阳	
	1122	1	新都	
	1123	1	吴郡	
	1124	1	南郡	
	1125	1	宜都	
	1126	1	建平	
	1127	1	江夏	
	1128	1	武陵	
	1129	1	天门	
	1130	1	长沙	
	1131	1	衡阳	
	1132	1	湘东	
	1133	1	零陵	
	1134	1	营阳	
	1135	1	始安	
	1136	1	昭陵	
	1137	1	桂阳	
	1138	1	始兴	
	1139	1	临贺	
	1140	1	南海	
	1141	1	苍梧	
	1142	1	郁林	
	1143	1	桂林	
	1144	1	高凉	
	1145	1	高兴	
	1146	1	巴郡	
	1147	1	潼关	
	1148	1	仗剑	
	1149	1	持刀	
	1150	1	披甲	
	1151	1	拔刀	
	1152	1	甩鞭	
	1153	1	拉弓	
	1154	1	扛鼎	
	1155	1	舞棍	
	1156	1	横枪	
	1157	1	执戈	
